"AÑO";"MES";"ID";"TIPOEDIFICIO";"EDIFICIO";"BARRIO";"CLASE";"GRUPO";"UNIDADES";"CONSUMO"
"2020";"3";"1033";"Centros culturales y bibliotecas";"Centro de Mayores San Francisco";"PALACIO";"Energia reactiva";"Reactiva tarifa 3.0A";"kVAr";"5089,6"
"2020";"3";"1033";"Centros culturales y bibliotecas";"Centro de Mayores San Francisco";"PALACIO";"Gas";"Gas";"m3";"0"
"2020";"3";"1083";"Centros mixtos";"Complejo La Vaguada";"EL PILAR";"Energia activa";"Activa Contador Gral - Bus";"kWh";"8165"
"2020";"3";"1083";"Centros mixtos";"Complejo La Vaguada";"EL PILAR";"Energia reactiva";"Reactiva tarifa 3.1A";"kVAr";"2693"
"2020";"3";"772";"Centros administrativos";"JMD Centro";"PALACIO";"Energia activa";"Activa Contador Gral - Bus";"kWh";""
"2020";"3";"772";"Centros administrativos";"JMD Centro";"PALACIO";"Energia reactiva";"Reactiva tarifa 3.1A";"kVAr";""
"2020";"3";"772";"Centros administrativos";"JMD Centro";"PALACIO";"Gas";"Gas";"m3";"NO DATA"
"2020";"3";"1082";"Centros administrativos";"JMD Fuencarral";"EL PILAR";"Energia activa";"Ninguno";"kWh";"7707,7"
"2020";"3";"1987";"Centros deportivos";"PabellÃ³n JesÃºs RollÃ¡n";"ZOFÃ�O";"Energia activa";"Activa Interruptor Gral";"kWh";"26532"
"2020";"3";"1987";"Centros deportivos";"PabellÃ³n JesÃºs RollÃ¡n";"ZOFÃ�O";"Energia reactiva";"Reactiva tarifa 3.1A";"kVAr";"255"
"2020";"3";"1987";"Centros deportivos";"PabellÃ³n JesÃºs RollÃ¡n";"ZOFÃ�O";"Gas";"Gas";"m3";"13953"
"2020";"3";"1131";"Centros mixtos";"Palacio Cibeles";"JERÃ“NIMOS";"Energia activa";"Activa Contador Gral - Bus";"kWh";"333054"
"2020";"3";"1174";"Centros administrativos";"Sede AG Hacienda";"JUSTICIA";"Energia activa";"Ninguno";"kWh";"0"
"2020";"3";"1174";"Centros administrativos";"Sede AG Hacienda";"JUSTICIA";"Energia reactiva";"Ninguno";"kVAr";"0"
"2020";"4";"2258";"Centros culturales y bibliotecas";"Biblioteca Ana MarÃ­a Matute";"SAN ISIDRO";"Energia activa";"Activa Interruptor Gral";"kWh";"7386"
"2020";"4";"2258";"Centros culturales y bibliotecas";"Biblioteca Ana MarÃ­a Matute";"SAN ISIDRO";"Energia reactiva";"Reactiva tarifa 3.1A";"kVAr";"15"
"2020";"4";"2178";"Centros culturales y bibliotecas";"Biblioteca Ã�ngel GonzÃ¡lez";"ALUCHE";"Energia activa";"Activa Interruptor Gral";"kWh";"2954"
"2020";"4";"2178";"Centros culturales y bibliotecas";"Biblioteca Ã�ngel GonzÃ¡lez";"ALUCHE";"Energia reactiva";"Reactiva tarifa 3.1A";"kVAr";"1431"
"2020";"4";"2178";"Centros culturales y bibliotecas";"Biblioteca Ã�ngel GonzÃ¡lez";"ALUCHE";"Gas";"Gas";"m3";"NO DATA"
"2020";"4";"2096";"Centros culturales y bibliotecas";"Biblioteca Eugenio TrÃ­as";"JERÃ“NIMOS";"Energia activa";"Activa Interruptor Gral";"kWh";"4823"
"2020";"4";"2096";"Centros culturales y bibliotecas";"Biblioteca Eugenio TrÃ­as";"JERÃ“NIMOS";"Energia reactiva";"Reactiva tarifa 3.1A";"kVAr";"0"
"2020";"4";"2096";"Centros culturales y bibliotecas";"Biblioteca Eugenio TrÃ­as";"JERÃ“NIMOS";"Gas";"Gas";"m3";"0"
"2020";"4";"1208";"Centros culturales y bibliotecas";"Biblioteca Gerardo Diego";"CASCO HISTÃ“RICO DE VALLECAS";"Energia activa";"Activa Interruptor Gral";"kWh";"1431"
"2020";"4";"1208";"Centros culturales y bibliotecas";"Biblioteca Gerardo Diego";"CASCO HISTÃ“RICO DE VALLECAS";"Energia reactiva";"Reactiva tarifa 3.0A";"kVAr";"8"
"2020";"4";"1208";"Centros culturales y bibliotecas";"Biblioteca Gerardo Diego";"CASCO HISTÃ“RICO DE VALLECAS";"Gas";"Gas";"m3";"0"
"2020";"4";"1526";"Centros culturales y bibliotecas";"Biblioteca JosÃ© Hierro";"ROSAS";"Energia activa";"Activa Interruptor Gral";"kWh";"1426"
"2020";"4";"1526";"Centros culturales y bibliotecas";"Biblioteca JosÃ© Hierro";"ROSAS";"Energia reactiva";"Reactiva tarifa 3.0A";"kVAr";"60"
"2020";"4";"1526";"Centros culturales y bibliotecas";"Biblioteca JosÃ© Hierro";"ROSAS";"Gas";"Gas";"m3";"14,1"
"2020";"4";"509";"Centros culturales y bibliotecas";"Biblioteca La Elipa - Islas Filipinas";"VENTAS";"Energia activa";"Ninguno";"kWh";"1167"
"2020";"4";"509";"Centros culturales y bibliotecas";"Biblioteca La Elipa - Islas Filipinas";"VENTAS";"Gas";"Gas";"m3";"834,6624"
"2020";"4";"509";"Centros culturales y bibliotecas";"Biblioteca La Elipa - Islas Filipinas";"VENTAS";"Gas";"Gas";"m3";"1945,99"
"2020";"4";"2204";"Centros culturales y bibliotecas";"Biblioteca MarÃ­a LejÃ¡rraga";"VALDEFUENTES";"Energia activa";"Ninguno";"kWh";"1094,8408"
"2020";"4";"941";"Centros culturales y bibliotecas";"Biblioteca Mario Vargas Llosa";"JUSTICIA";"Energia activa";"Activa Interruptor Gral";"kWh";"2322"
"2020";"4";"941";"Centros culturales y bibliotecas";"Biblioteca Mario Vargas Llosa";"JUSTICIA";"Energia reactiva";"Reactiva tarifa 3.0A";"kVAr";"426"
"2020";"4";"850";"Centros culturales y bibliotecas";"Biblioteca Miguel Delibes";"MEDIA LEGUA";"Energia activa";"Activa Interruptor Gral";"kWh";"3085"
"2020";"4";"850";"Centros culturales y bibliotecas";"Biblioteca Miguel Delibes";"MEDIA LEGUA";"Energia reactiva";"Reactiva tarifa 3.1A";"kVAr";"30"
"2020";"4";"850";"Centros culturales y bibliotecas";"Biblioteca Miguel Delibes";"MEDIA LEGUA";"Gas";"Gas";"m3";"0"
"2020";"4";"702";"Centros culturales y bibliotecas";"Biblioteca Pablo Neruda";"PUEBLO NUEVO";"Energia activa";"Ninguno";"kWh";"4086,6"
"2020";"4";"702";"Centros culturales y bibliotecas";"Biblioteca Pablo Neruda";"PUEBLO NUEVO";"Gas";"Gas";"m3";"0"
"2020";"4";"20";"Centros culturales y bibliotecas";"Biblioteca PÃ­o Baroja";"ACACIAS";"Energia activa";"Activa Interruptor Gral";"kWh";"2505"
"2020";"4";"20";"Centros culturales y bibliotecas";"Biblioteca PÃ­o Baroja";"ACACIAS";"Energia reactiva";"Reactiva tarifa 3.0A";"kVAr";"317"
"2020";"4";"20";"Centros culturales y bibliotecas";"Biblioteca PÃ­o Baroja";"ACACIAS";"Gas";"Gas";"m3";"718,9"
"2020";"4";"906";"Centros culturales y bibliotecas";"CC Conde Duque";"UNIVERSIDAD";"Energia activa";"Activa Contador Gral - Bus";"kWh";"107099"
"2020";"4";"906";"Centros culturales y bibliotecas";"CC Conde Duque";"UNIVERSIDAD";"Energia reactiva";"Reactiva tarifa 6.1A";"kVAr";"441"
"2020";"4";"288";"Centros culturales y bibliotecas";"CC La Vaguada";"EL PILAR";"Energia activa";"Ninguno";"kWh";"14837"
